origins,destinations,n_routes,n_clusters,clusters,n_zero_fft_routes,free_flow_time_min,free_flow_time_max,free_flow_time_spread,total_length_min,total_length_max,total_length_spread,max_pairwise_overlap
266565295#5,-25145011#0,4,4,"0,1,2,3",0,1.3850611951043914,4.508490392831931,3.123429197727539,1519.8523199987408,3333.355179926435,1813.5028599276943,0.7692307692307693
-18809673#6,201950247#0,4,4,"0,1,2,3",0,5.833071291897587,8.95068759832973,3.117616306432142,4398.1941203027145,5842.368181941098,1444.1740616383831,0.6744186046511628
272042143,-128361102#1,4,4,"0,1,2,3",0,2.4319596484486463,5.527701057659418,3.095741409210772,2691.3263897850893,4257.898938330778,1566.5725485456887,0.6551724137931034
24599188#0.94,-10427692#3,4,4,"0,1,2,3",0,2.7089187202085387,5.773232193824213,3.064313473615674,2452.708379203199,4686.105366294798,2233.396987091599,0.4666666666666667
272042143,40888359,4,4,"0,1,2,3",0,1.4275767038276794,4.440121476956513,3.0125447731288335,1434.6513784014835,3612.351232503726,2177.699854102242,0.3142857142857143
315358244,399835085#1,4,4,"0,1,2,3",0,1.3709456896017258,4.364873773250147,2.993928083648421,1392.8661927551238,4355.468040600351,2962.601847845227,0.68
-306240162#1,4942376,4,4,"0,1,2,3",0,2.545543828777338,5.518618892317652,2.9730750635403136,2749.907613653465,4740.749033125467,1990.8414194720017,0.45454545454545453
-447569998#1,-315358258,4,4,"0,1,2,3",0,2.044300427154303,4.993032475769286,2.948732048614983,1900.550680994664,3751.245838221547,1850.6951572268829,0.3793103448275862
-447569998#1,399835085#1,4,4,"0,1,2,3",0,2.044300427154303,4.993032475769286,2.948732048614983,1900.550680994664,3751.245838221547,1850.6951572268829,0.3793103448275862
266565295#5,24634511,4,4,"0,1,2,3",0,1.5759031762453002,4.5148853710209575,2.938982194775657,1616.0111702063373,3432.391715079855,1816.380544873518,0.56
24599188#0.94,-201238724,4,4,"0,1,2,3",0,1.2332218848662575,4.150828351498986,2.9176064666327286,1229.9761547386142,3191.394344931849,1961.4181901932348,0.24
-136728347#4,306240162#0,4,4,"0,1,2,3",0,1.801315633658979,4.566110776368527,2.7647951427095476,1932.455358527778,3770.8138450970055,1838.3584865692276,0.6785714285714286
201201935#0,-201963522#3,4,4,"0,1,2,3",0,1.2619950211906217,3.976504856802332,2.71450983561171,1113.2493798498613,3003.79170153984,1890.5423216899785,0.5
26677214#5,-24634413#0,4,4,"0,1,2,3",0,1.5832370385159102,4.276415908335976,2.6931788698200663,1447.304229522324,3439.443227473754,1992.1389979514302,0.5882352941176471
-306240162#1,24634513#0,4,4,"0,1,2,3",0,1.1399071933012757,3.813094503432077,2.6731873101308015,1461.5628801405085,3763.625536539029,2302.0626563985206,0.3333333333333333
266565295#5,-25145012#3,4,4,"0,1,2,3",0,1.5797096232301415,4.2503434335442565,2.670633810314115,1670.1821119004564,3298.390515661277,1628.2084037608204,0.7692307692307693
25145014#0,306240162#0,4,4,"0,1,2,3",0,2.088857475449691,4.70760345695408,2.6187459815043885,2427.498910647385,3941.503313952211,1514.0044033048262,0.4827586206896552
315358244,386687235,4,4,"0,1,2,3",0,2.196825223970078,4.8093396216886,2.6125143977185217,1775.2371348088404,3249.1482961951474,1473.911161386307,0.6666666666666666
128361109#1,272042145,4,4,"0,1,2,3",0,2.6855243465276675,5.294259863772723,2.6087355172450555,2506.939506986588,4614.906819536945,2107.9673125503564,0.6842105263157895
176550249#3,272042145,4,4,"0,1,2,3",0,1.6136021003073655,4.22233761755242,2.608735517245055,1505.260583832438,3613.2278963827935,2107.9673125503555,0.5714285714285714
266565295#5,30482615#1,4,4,"0,1,2,3",0,2.547797117407078,5.118118780989717,2.5703216635826394,2852.3115117148304,4475.615002103796,1623.3034903889652,0.7368421052631579
-160314345#5,31860333#1,4,4,"0,1,2,3",0,2.5012429881959983,5.071442197023729,2.570199208827731,2474.728936209303,3559.485579837079,1084.7566436277762,0.7272727272727273
24634513#0,272042145,4,4,"0,1,2,3",0,2.753980918936557,5.268579164507811,2.514598245571254,1740.285201455532,3556.6894617564603,1816.4042603009284,0.6
-40888351#2,32978638#0,4,4,"0,1,2,3",0,2.060878491065252,4.495759628545442,2.43488113748019,1733.5597916942177,3622.7884693686055,1889.2286776743879,0.35135135135135137
-160314345#5,-128361102#1,4,4,"0,1,2,3",0,2.6845269117011243,5.107086173836919,2.4225592621357945,2650.00819252521,3680.7233527505177,1030.715160225308,0.625
23166741#5,272042145,4,4,"0,1,2,3",0,1.3399901789369455,3.709808214142388,2.3698180352054425,1256.9662795517022,3242.954266064341,1985.9879865126388,0.5
-22716073,306240162#0,4,4,"0,1,2,3",0,1.749904650319524,4.088975107351627,2.339070457032103,2094.3899763201807,3443.6268770011284,1349.2369006809477,0.7575757575757576
315392062#0,272042145,4,4,"0,1,2,3",0,0.9854211663066952,3.3082974730568973,2.322876306750202,1205.279516748756,2990.5292577338287,1785.2497409850728,0.45454545454545453
23525483#7,-128361102#1,4,4,"0,1,2,3",0,2.1718917372564577,4.486598555909044,2.3147068186525863,1993.5213279370207,4150.989550354668,2157.4682224176468,0.5384615384615384
-10427692#6,-128361102#1,3,3,"1,2,3",0,0.2906476122774264,2.597967101480534,2.3073194892031075,658.5366744834693,1533.4502848349073,874.913610351438,0.35
-306240162#1,137454133#2,2,2,"1,3",0,0.6743795417222834,2.958381949407072,2.2840024076847887,1069.45135701957,3185.424526649785,2115.973169630215,0.27586206896551724
40888360#0,272042145,4,4,"0,1,2,3",0,1.8195347253372192,4.102766779858091,2.2832320545208717,1671.359247376508,3391.394436009871,1720.0351886333628,0.4090909090909091
-24634510#5,201238729#3,4,4,"0,1,2,3",0,1.895224382049436,4.173702895135296,2.27847851308586,2127.182856877849,3208.275399987076,1081.0925431092269,0.5882352941176471
-137454133#5,201238729#3,3,3,"1,2,3",0,0.5009412679838197,2.766490087347353,2.2655488193635334,951.9952257697616,3199.8165353153568,2247.821309545595,0.2631578947368421
-136728347#4,201238726#0,4,4,"0,1,2,3",0,1.3315253997066556,3.581088209247681,2.2495628095410254,1199.9997969996575,2706.92030095314,1506.9205039534827,0.6470588235294118
315392062#0,386687235,4,4,"0,1,2,3",0,1.0962562994960403,3.336667597204469,2.2404112977084285,1026.6927134652165,2860.7695541752323,1834.0768407100159,0.26666666666666666
-26677213#5,272042145,4,4,"0,1,2,3",0,1.6458247805961836,3.882843807069265,2.2370190264730816,1518.976623939222,2922.54852293988,1403.571899000658,0.36363636363636365
201238719#0,32978638#0,4,4,"0,1,2,3",0,2.816381937944364,5.053203351926202,2.2368214139818376,2706.2417984633216,3180.512992336077,474.27119387275525,0.5294117647058824
-306240162#1,201238718#0,4,4,"0,1,2,3",0,1.8183504047930512,4.023480409309736,2.2051300045166844,1958.1545936641644,2735.6146179197417,777.4600242555773,0.6538461538461539
-201950247#0,386687235,4,4,"0,1,2,3",0,1.3555989422406831,3.551826547753731,2.196227605513048,1136.883851271725,2453.640759566817,1316.756908295092,0.5555555555555556
176550249#4,272042145,4,4,"0,1,2,3",0,1.446445662498261,3.612511224792293,2.166065562294032,1325.0805024507945,3137.5532106917262,1812.4727082409318,0.46153846153846156
128361109#1,24634509#1,4,4,"0,1,2,3",0,2.656719462443004,4.78307592605121,2.126356463608206,2655.0944834253824,3391.76346152765,736.6689781022678,0.6111111111111112
201201935#0,-32395288#1,4,4,"0,1,2,3",0,1.7549702242308003,3.858897813985205,2.1039275897544045,1442.2250936567968,2899.344855689741,1457.1197620329442,0.3684210526315789
-32978638#0,176550249#4,4,4,"0,1,2,3",0,2.116555924025478,4.211613862257925,2.0950579382324475,2215.501801057089,3083.0373832100427,867.5355821529538,0.42857142857142855
176550249#0,-24634506#2,4,4,"0,1,2,3",0,1.6730624287151863,3.7663030698551294,2.093240641139943,1522.079140683596,2434.5331360371083,912.4539953535123,0.2631578947368421
315358244,23166741#5,4,4,"0,1,2,3",0,1.966994778783835,4.052289501424511,2.0852947226406755,1552.6535980193537,3473.3865861547656,1920.732988135412,0.375
-306240162#1,-201963533#4,4,4,"0,1,2,3",0,3.05220587276461,5.0838689984252206,2.0316631256606104,2650.1422148615475,3086.901106610933,436.7588917493854,0.4444444444444444
-24634510#6,32978638#0,4,4,"0,1,2,3",0,2.0338372930165587,4.063497711549982,2.0296604185334237,1919.716401822716,2731.22242958918,811.5060277664641,0.48
-306240162#1,24634510#6,4,4,"0,1,2,3",0,1.359987073859526,3.387118171078831,2.0271310972193053,1447.9536753808218,3059.6213579719515,1611.6676825911297,0.5555555555555556
10427692#7,-266565295#5,4,4,"0,1,2,3",0,2.3097986824265884,4.333963540604838,2.0241648581782496,2327.468535602663,3073.7908375407046,746.3223019380416,0.6666666666666666
315358244,-26677216#0,4,4,"0,1,2,3",0,1.7326854571922363,3.7357530812408872,2.0030676240486507,1450.9150283338909,2969.538033448437,1518.6230051145462,0.5555555555555556
24599188#0.94,306240162#0,4,4,"0,1,2,3",0,2.775995831876711,4.768270927660166,1.9922750957834547,2751.6880839527103,4270.3905590409295,1518.7024750882192,0.7407407407407407
266565295#5,-129379918#1,4,4,"0,1,2,3",0,1.4282105354740886,3.4053937053583136,1.977183169884225,1376.315294806595,2746.7373532792185,1370.4220584726236,0.6
24634411,306240162#0,4,4,"0,1,2,3",0,2.338371566907945,4.312979278381095,1.9746077114731504,2276.7091288890933,4202.197997066721,1925.4888681776274,0.7142857142857143
315358244,447569997#1,4,4,"0,1,2,3",0,0.5424703502711379,2.512030676512257,1.9695603262411192,707.1847080960149,2054.9908084261806,1347.8061003301657,0.5
23166741#2,201238729#3,4,4,"0,1,2,3",0,1.9475506265438656,3.911587125851061,1.9640364993071955,2107.861406505027,3514.510700777235,1406.649294272208,0.2857142857142857
266565295#5,-24634506#2,4,4,"0,1,2,3",0,1.875306249209547,3.837929210561114,1.9626229613515669,1803.7922840067783,3076.8923537932355,1273.1000697864572,0.5384615384615384
-26677539,32978638#0,4,4,"0,1,2,3",0,2.364801615390577,4.3046994319686105,1.9398978165780334,1913.7583900553925,3255.9539538163567,1342.1955637609642,0.6551724137931034
24634507,-266565295#5,4,4,"0,1,2,3",0,1.435069002402977,3.3461815395704724,1.9111125371674953,1499.1017743323368,2693.1090726625475,1194.0072983302107,0.35714285714285715
-22716549#6,-266565295#5,4,4,"0,1,2,3",0,1.660984350543673,3.5527513957346795,1.8917670451910065,1541.9720383712774,2815.4949322930547,1273.5228939217773,0.52
24599188#0.94,-201238718#0,4,4,"0,1,2,3",0,1.006931988058002,2.895364524499505,1.8884325364415029,1003.2884422824744,2430.5289438878326,1427.240501605358,0.35294117647058826
176550249#0,272042145,4,4,"0,1,2,3",0,1.89685625149988,3.7749207717955184,1.8780645202956385,2010.2713486434675,2262.99135755899,252.72000891552238,0.5333333333333333
24634517#6,-128361102#1,4,4,"0,1,2,3",0,0.6932445404367649,2.545466422710192,1.852221882273427,937.7032855112056,2343.5512321308947,1405.847946619689,0.38095238095238093
201201953#4,-266565295#5,4,4,"0,1,2,3",0,3.4206328624223112,5.258657879494934,1.838025017072623,3365.9155051337616,3770.369516132589,404.45401099882747,0.78125
18809672#7,386687235,4,4,"0,1,2,3",0,4.784348447828355,6.6037022527156015,1.8193538048872462,3465.530521590607,4070.7371865242826,605.2066649336757,0.5263157894736842
-32978638#0,24634510#6,4,4,"0,1,2,3",0,1.71426410737081,3.530626995218533,1.8163628878477232,1665.2763175601983,2817.2223240055064,1151.946006445308,0.5769230769230769
24634509#1,201238729#3,4,4,"0,1,2,3",0,1.956385347515536,3.7661043250993695,1.8097189775838336,2188.058462176186,3538.037014611861,1349.9785524356753,0.52
218647954,-201950247#5,3,3,"0,1,2",0,4.692629182856926,6.50164724608657,1.8090180632296438,2797.82254665708,3710.532543781702,912.7099971246221,0.6216216216216216
24634513#0,201238729#3,4,4,"0,1,2,3",0,2.141622355866428,3.941726513934815,1.8001041580683874,1470.819767183567,2859.948672659677,1389.12890547611,0.391304347826087
-306240162#1,24634511,4,4,"0,1,2,3",0,1.6107375268745896,3.4023969854848075,1.791659458610218,1781.9747800330472,2342.253965255113,560.279185222066,0.5909090909090909
128361109#1,-24634510#5,4,4,"0,1,2,3",0,1.2001864981314545,2.991845956741672,1.7916594586102177,1353.445624250049,1994.7081156364773,641.2624913864283,0.4375
128361109#1,176550249#4,3,3,"1,2,3",0,1.3141468682505395,3.0723235185367286,1.758176650286189,1492.0630001724194,2084.836389993616,592.7733898211968,0.47058823529411764
-306240162#1,-22724699#1,4,4,"0,1,2,3",0,2.165794609256694,3.9239712595428826,1.7581766502861886,2142.7140129347413,2735.4874027559367,592.7733898211955,0.6538461538461539
-306240162#1,138300620#0,3,3,"1,2,3",0,1.1982400136243447,2.956416663910533,1.7581766502861884,1357.9347006072871,1950.7080904284835,592.7733898211964,0.45
-24634411,447569997#1,4,4,"0,1,2,3",0,1.8807496792813605,3.6131318762206095,1.732382196939249,1593.8255725377592,2684.950503161604,1091.1249306238449,0.7
-24634414#1,306240162#0,4,4,"0,1,2,3",0,2.431400778653003,4.143701958469344,1.712301179816341,2586.26643883646,3955.457483480568,1369.191044644108,0.43243243243243246
-32978638#0,-315392062#4,4,4,"0,1,2,3",0,1.234032792382612,2.931274309579844,1.6972415171972322,1212.3243352697546,2509.8687353556534,1297.5444000858988,0.7
129379925,386687235,4,4,"0,1,2,3",0,0.5652027837772978,2.25129468634106,1.6860919025637622,673.1169292390323,1517.612200636095,844.4952713970627,0.5882352941176471
-28319300#2,306240162#0,4,4,"0,1,2,3",0,1.3564464865820236,3.039421890918529,1.6829754043365055,1471.4508231454506,3002.8017456884145,1531.3509225429639,0.25
315392062#0,32978638#0,4,4,"0,1,2,3",0,0.9325173986081112,2.615206039219144,1.6826886406110328,948.7903703797728,2254.816311000211,1306.0259406204382,0.55
-315358257#0.26,306240162#0,3,3,"1,2,3",0,0.6792306614470742,2.352337181951658,1.6731065205045839,1072.4364266175878,2511.9495251457456,1439.5130985281578,0.10714285714285714
-201950247#0,32978638#0,4,4,"0,1,2,3",0,2.272084528555843,3.94440269988485,1.6723181713290067,1875.099851250241,2770.664074303329,895.564223053088,0.7586206896551724
-32978638#0,-315358242#1,4,4,"0,1,2,3",0,0.9217190547925432,2.587429759520799,1.6657107047282556,969.415238157304,1872.6628165188945,903.2475783615905,0.5
315358244,-26677416#1,3,3,"0,2,3",0,1.055274338267816,2.720943197604208,1.6656688593363922,833.5228965044947,2115.83108423304,1282.3081877285454,0.65
128361109#1,-315358242#0,4,4,"0,1,2,3",0,3.1078371449371684,4.771894622530917,1.6640574775937487,2813.7760910853367,3071.8646843267943,258.0885932414576,0.7307692307692307
-32978638#0,306240162#0,4,4,"0,1,2,3",0,2.763940253705918,4.427475372577081,1.6635351188711627,2904.841541833544,4047.337838026413,1142.496296192869,0.6764705882352942
-136728347#4,272042145,4,4,"0,1,2,3",0,3.478556411791478,5.138634396919574,1.6600779851280962,2747.598999470669,3182.720145375516,435.12114590484725,0.625
266565295#5,24634411,4,4,"0,1,2,3",0,1.217119662839938,2.87264257754938,1.6555229147094417,1296.2539390663164,2677.3901839127325,1381.136244846416,0.43478260869565216
-306240162#1,24634507,4,4,"0,1,2,3",0,2.604911753594631,4.253434449961273,1.648522696366642,2529.885255555956,3193.1394404072844,663.2541848513283,0.5666666666666667
272042143,176550249#4,4,4,"0,1,2,3",0,2.1089005364564835,3.748006950810842,1.6391064143543583,2218.6289798227976,2788.4163330766155,569.7873532538179,0.375
-26677542#0,386687235,4,4,"0,1,2,3",0,1.699624961575703,3.3321950234377407,1.6325700618620376,1512.4218916349048,2123.762222503862,611.3403308689574,0.6666666666666666
-40888356#6,306240162#0,4,4,"0,1,2,3",0,1.6285302001299629,3.2564669692157366,1.6279367690857738,1744.9354662269286,2860.608062706567,1115.6725964796385,0.7777777777777778
-24634505,272042145,4,4,"0,1,2,3",0,0.7541636669066475,2.377142664121084,1.6229789972144366,1009.6462816120546,2063.625988032562,1053.9797064205072,0.3157894736842105
128361109#1,26677214#4,4,4,"0,1,2,3",0,2.298939452791501,3.904722195604783,1.605782742813282,2449.9688471665986,2637.557315732536,187.58846856593755,0.64
128361109#1,201201953#10,4,4,"0,1,2,3",0,2.64226713168077,4.241197692931142,1.5989305612503721,2741.9728360465333,3037.3896447418256,295.4168086952923,0.5909090909090909
315358244,51857516#1,4,4,"0,1,2,3",0,3.108579058283972,4.693436442562376,1.5848573842784042,2641.313909680557,3476.3647911336207,835.0508814530635,0.7419354838709677
272042143,306240162#0,4,4,"0,1,2,3",0,1.941953467204972,3.5226363161422034,1.5806828489372313,2280.0902536654125,3367.3905750425893,1087.3003213771767,0.52
266565295#5,-170018165#3,4,4,"0,1,2,3",0,2.80562037385244,4.384742893990804,1.5791225201383643,3064.360249127049,4325.036806653057,1260.6765575260083,0.5106382978723404
286646456#1,30482615#1,4,4,"0,1,2,3",0,1.882811271066932,3.461824491758316,1.5790132206913838,2506.8781360685552,2965.319082558915,458.4409464903597,0.7058823529411765
315358250#0,386687235,4,4,"0,1,2,3",0,2.096367359038648,3.667751074511878,1.57138371547323,1735.9552442819247,2880.830405967486,1144.8751616855614,0.6521739130434783
-32978638#0,447569997#1,4,4,"0,1,2,3",0,1.305934065490847,2.874130228045141,1.5681961625542942,1422.034301080054,2216.312296959689,794.2779958796348,0.5517241379310345
201950263#0,32978638#0,4,4,"0,1,2,3",0,2.6917329782885075,4.257063343696009,1.5653303654075015,2436.927752367016,3254.361866146548,817.4341137795318,0.6896551724137931
-306240162#1,176550249#3,3,3,"1,2,3",0,1.434980036967922,2.994523904984943,1.559543868017021,1854.792240811388,2255.087171657147,400.2949308457589,0.7272727272727273
-201950263#10,306240162#0,4,4,"0,1,2,3",0,1.6361061114110769,3.1787851117355235,1.5426790003244466,1910.723014931,3114.614376032704,1203.891361101704,0.2692307692307692
-224892339#3,272042145,4,4,"0,1,2,3",0,2.088632996119916,3.629598684050957,1.540965687931041,2385.213749363816,3248.995376459465,863.7816270956491,0.7083333333333334
-24634509#7,-266565295#5,4,4,"0,1,2,3",0,1.516932503743038,3.0518871047339022,1.5349546009908643,1558.0699684593408,2784.4264646083416,1226.3564961490008,0.4166666666666667
-24634509#7,32978638#0,4,4,"0,1,2,3",0,1.503373588456261,3.038328189447125,1.5349546009908641,1414.2312195522345,2640.587715701234,1226.3564961489997,0.4166666666666667
24608845,306240162#0,4,4,"0,1,2,3",0,1.9966800162776133,3.529590631927761,1.5329106156501477,2115.912843814712,3413.724266649922,1297.8114228352101,0.46153846153846156
-306240162#1,176550249#4,3,3,"1,2,3",0,1.6772046589981595,3.204177949049345,1.5269732900511854,2136.8734132788823,3416.6047653326914,1279.7313520538091,0.6086956521739131
-32124743,-266565295#5,3,3,"1,2,3",0,0.7178185745140389,2.2254570510709684,1.5076384765569295,911.517886877097,2069.948761355511,1158.4308744784141,0.5263157894736842
-32978638#0,386687235,4,4,"0,1,2,3",0,0.6238540916726661,2.127441747037188,1.5035876553645218,791.9184843837678,1729.0124889887263,937.0940046049585,0.5714285714285714
272042143,-26677216#0,3,3,"0,2,3",0,1.090357208398118,2.5921167026925955,1.5017594942944776,1007.8582609830568,2410.2035352624,1402.345274279343,0.38095238095238093
25117391#2,32978638#0,4,4,"0,1,2,3",0,2.376951025190494,3.870687526270407,1.4937365010799128,2063.651305229155,2791.03355707888,727.3822518497254,0.39473684210526316
315358244,32999110#0,4,4,"0,1,2,3",0,2.5417984655573203,4.011793706274198,1.469995240716878,2386.926947511762,3066.0331553203646,679.1062078086024,0.6538461538461539
128361109#1,-22724699#1,4,4,"0,1,2,3",0,2.36154203942196,3.8260692513457255,1.4645272119237656,2161.264947986028,2493.479915089469,332.21496710344127,0.5909090909090909
-18809672#6,386687235,4,4,"0,1,2,3",0,4.7300188254106335,6.194331735599907,1.4643129101892738,3521.445221291377,4121.421993344107,599.9767720527302,0.78125
24599188#0.94,-379510292,4,4,"0,1,2,3",0,2.313697185137554,3.7770487316596895,1.4633515465221354,1950.8565787340624,3171.94240453096,1221.0858257968978,0.5333333333333333
-201238718#0,306240162#0,4,4,"0,1,2,3",0,1.7317091967105969,3.1886942733843435,1.4569850766737467,1957.217138433956,3205.317600666799,1248.100462232843,0.5714285714285714
315358244,53396619#3,4,4,"0,1,2,3",0,1.088191331248122,2.544694382743489,1.4565030514953672,907.0910391293468,1732.0329132612767,824.9418741319299,0.6
-233675413#0,306240162#0,4,4,"0,1,2,3",0,2.820465154774483,4.271911452665187,1.4514462978907043,2417.416091738093,3571.127371345208,1153.7112796071146,0.5172413793103449
128361109#3,386687235,4,4,"0,1,2,3",0,2.3340910446251937,3.784609336895305,1.4505182922701114,2046.5508129496627,2917.9174894283983,871.3666764787356,0.4782608695652174
-22724699#11,386687235,4,4,"0,1,2,3",0,2.224666410840794,3.6668509448415794,1.4421845340007855,1745.1320644484283,2799.083905175862,1053.9518407274338,0.7272727272727273
-24634514#1,-83304175#2,4,4,"0,1,2,3",0,3.621238230285977,5.045665398431959,1.4244271681459821,2178.243491832346,2818.232240636401,639.9887488040549,0.6190476190476191
-24634413#0,306240162#0,4,4,"0,1,2,3",0,2.414982211165648,3.834761886312676,1.4197796751470282,2329.310193366886,3382.723974676046,1053.4137813091602,0.5
272042143,170018165#2,4,4,"0,1,2,3",0,2.1251367363917306,3.536055157035726,1.4109184206439953,2389.204124581924,3352.0758106030057,962.8716860210816,0.5833333333333334
286646456#1,272042145,4,4,"0,1,2,3",0,2.04962941973636,3.4531655109497823,1.4035360912134225,2278.963722436576,2681.281396579158,402.31767414258184,0.64
128361109#1,32978638#0,4,4,"0,1,2,3",0,2.854211663066954,4.257747754280375,1.4035360912134212,2700.549567842955,3094.976867842297,394.4272999993418,0.6785714285714286
128361109#1,-266565295#5,4,4,"0,1,2,3",0,2.867770578353732,4.271306669567152,1.4035360912134198,2844.388316750062,3238.8156167494044,394.42729999934227,0.6785714285714286
-306240162#1,-25190140#1,4,4,"0,1,2,3",0,3.521754243410948,4.915051363379843,1.3932971199688948,2985.6798033017617,3274.874090530793,289.1942872290315,0.7352941176470589
-447569998#1,-201238718#0,4,4,"0,1,2,3",0,1.5513872359598986,2.929377337688135,1.3779901017282363,1569.985684912034,2294.521139154041,724.5354542420071,0.375
24599188#0.94,22724699#7,4,4,"0,1,2,3",0,2.0890673331967777,3.458920155535216,1.369852822338438,1813.098787006252,2589.5231511604743,776.4243641542223,0.64
-18809673#6,272042145,4,4,"0,1,2,3",0,5.047343177757763,6.413176451311966,1.3658332735542027,4130.619874189635,4862.597768829802,731.9778946401666,0.3902439024390244
-306240162#1,32978638#0,4,4,"0,1,2,3",0,2.980529430470997,4.3398730570815856,1.3593436266105887,2891.204171337896,3239.159931147378,347.95575980948206,0.6111111111111112
-306240162#1,-266565295#5,4,4,"0,1,2,3",0,2.994088345757774,4.353431972368362,1.3593436266105883,3035.0429202450023,3382.9986800544843,347.95575980948206,0.6111111111111112
26677213#0,386687235,4,4,"0,1,2,3",0,1.0381360175459673,2.395641640385456,1.3575056228394888,1150.5185694734498,1887.0781930782207,736.5596236047709,0.6666666666666666
-25117391#2,32978638#0,4,4,"0,1,2,3",0,2.5392531958787834,3.890220062106916,1.3509668662281324,2065.5087368203945,2706.8927803106126,641.3840434902181,0.6551724137931034
26677542#1,386687235,4,4,"0,1,2,3",0,1.4682640082670937,2.8066547281259515,1.3383907198588578,1213.882966518755,2314.017356335866,1100.1343898171112,0.4090909090909091
-32978638#0,24634413#1,4,4,"0,1,2,3",0,0.9251892549676458,2.260519081642736,1.3353298266750904,796.4035486438547,1740.432607627053,944.0290589831982,0.3684210526315789
-315392062#4,32978638#0,4,4,"0,1,2,3",0,0.9325173986081112,2.264759957258641,1.3322425586505298,948.7903703797728,1750.0375611562326,801.2471907764599,0.6666666666666666
-315392062#4,-266565295#5,4,4,"0,1,2,3",0,0.9460763138948884,2.278318872545418,1.3322425586505298,1092.6291192868794,1893.8763100633391,801.2471907764598,0.5
266565295#5,-24693977#1,4,4,"0,1,2,3",0,1.804792845864048,3.125582198322094,1.3207893524580459,1615.6895155488785,2457.2275133081034,841.5379977592249,0.5185185185185185
-32978638#0,-315358246,4,4,"0,1,2,3",0,1.4953811618239807,2.8160628830365835,1.3206817212126027,1510.6454042101582,2170.576207007474,659.9308027973157,0.76
-32978638#0,-315358252#1,4,4,"0,1,2,3",0,1.302292608908214,2.6229743301208166,1.3206817212126025,1359.6600745041396,2019.5908773014555,659.9308027973159,0.5833333333333334
315358244,-201238724,4,4,"0,1,2,3",0,1.759917016073279,3.07588598105308,1.315968964979801,1750.2734312794614,2311.804013087972,561.5305818085108,0.65
