origins,destinations,mask_0,mask_1,mask_2,mask_3,mask_4
57392474,-561133139,0,1,0,1,0
57392554#0,-174907152#1,0,1,0,1,0
57392554#0,-22561653,1,1,1,1,0
57392554#0,57392486,0,1,0,0,0
57680095#0,-561133140#1,1,1,0,1,1
57680095#0,-57680089#3,0,1,1,1,0
57680106,-561134628#0,1,0,1,1,1
57680106,57099589,1,1,1,0,1
57680109,-57392457#0,1,0,1,1,1
57680109,628868117#0,1,0,1,1,0
57680110,-174375407#3,1,1,1,1,0
57680110,-22561652#3,1,1,1,1,1
57680113,-1116499328#0,1,1,1,1,1
57680113,57680152#2,1,1,1,1,1
57680115#0,-174375407#3,1,0,1,1,1
57680124,-561133140#1,0,1,1,1,1
57680130#2,-1163710302,0,1,0,0,0
57680130#2,-22561651#1,0,1,0,0,0
57680130#2,-979838980#5,0,1,0,1,1
57680138,-174907152#1,0,1,1,0,0
57680138,-41231515#0,1,1,0,1,1
57680138,39761731#1,1,0,1,1,1
57680145#0,-1116499322,1,1,1,0,0
57680145#0,-22561653,0,1,1,1,0
57680145#0,-41273141#1,1,0,1,1,1
57680146,-561133140#1,1,1,0,1,1
57680146,-57392454#1,1,1,1,1,0
57680146,-57680135,1,1,1,1,0
57680147,57392554#0,1,0,1,1,1
57680150#0,-174375407#2,1,0,1,1,1
57680150#0,174375408#0,1,0,1,1,1
57680152#2,174375405,1,1,1,0,0
57680159,41273128#1,1,1,0,1,1
57680171#1,-22561652#4,0,1,0,1,0
57680179#1,-22561652#3,0,1,0,0,0
57680181#0,-174375407#2,1,1,1,1,1
57680181#0,-174375407#3,0,1,1,1,1
57680181#0,-57680145#1,1,1,1,1,1
57680181#1,-1157449878#0,1,1,0,1,1
57680181#1,-174375407#2,0,1,1,1,1
57680181#1,57680152#2,1,1,1,1,1
79119286#0,-41273141#1,0,1,1,1,0
79119287#1,-41273141#1,0,1,1,1,0
79119287#1,-561133140#1,0,1,1,0,0
79119287#2,-41273141#1,0,1,1,1,0
79119287#2,-561133140#1,0,1,1,1,0
79119287#2,-561134628#0,1,1,1,1,1
79119287#2,1116499317#2,1,1,1,1,1
79119287#2,79119290,1,1,1,1,0
79119288,-561133140#1,1,0,1,1,1
79119289#0,-174375407#2,0,1,1,1,0
79119291#2,57680147,1,0,0,1,1
79119293#1,23881170,1,0,1,1,1
79559552#0,-41273141#1,1,1,1,1,1
79559552#0,-561133140#1,1,0,1,1,1
870315481#0,-174375407#2,1,1,1,1,1
904671111,-22561499#1,0,1,1,1,1
904671111,-57680132#1,1,1,1,0,1
