sumo_id,from,to,priority,type,speed,lanes_x,allow,disallow,shape,osmid,has_traffic_light,highway,maxspeed,lanes_y,length
-1057740880#0,9719108002,9719108008,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4758.93, 1392.64), (4607.6, 1344.49), (4586.65, 1337.35)]",-1057740880.0,0,,,,180.9387947593059
-1057740880#1,9719108003,9719108002,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1057740880.0,0,,,,
-106219259,1222774761,1222774784,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3826.52, 739.84), (3798.31, 674.04), (3789.62, 656.77), (3783.2, 644.3), (3777.37, 635.8), (3769.49, 624.21), (3743.33, 592.57), (3699.42, 541.74), (3689.72, 530.5), (3642.62, 459.2), (3624.44, 436.15), (3603.84, 414.1)]",106219259.0,0,unclassified,,,397.3283717627741
-1079723591,4983153143,9897114285,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3081.19, 1273.18), (3073.31, 1267.98), (3034.62, 1243.45)]",1079723591.0,0,unclassified,,,55.25198461710576
-1079723596,9897114298,9897114302,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2866.43, 1280.01), (2860.56, 1289.56), (2870.89, 1296.72), (2914.95, 1327.27), (2934.77, 1339.63), (2938.51, 1341.96)]",1079723596.0,0,unclassified,,,105.15828847655607
-1079723603,5263712552,1766536971,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,,1079723603.0,0,tertiary,,,
-1088466838#0,9972395432,9972369512,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,,-1088466838.0,0,,,,
-1088466838#1,1663593028,9972395432,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,,-1088466838.0,0,,,,
-1102935201,2511999113,2511999107,12,highway.primary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1102935201.0,0,primary,50,3,
-1102935203,9719108000,10092616465,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,,1102935203.0,0,secondary,,,
-1102935205,2010682070,9719108000,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4655.4, 1740.91), (4653.89, 1733.74), (4644.81, 1702.87), (4629.38, 1649.52), (4621.93, 1623.41)]",1102935205.0,0,secondary,,,122.19356656521609
-1109771198#0,10152611637,429515276,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3841.01, 2780.24), (3841.84, 2784.89), (3843.09, 2799.33), (3842.79, 2811.37)]",-1109771198.0,0,,,,31.261233638541746
-1109771198#1,1687286936,10152611637,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3837.52, 2772.48), (3840.76, 2778.43), (3841.01, 2780.24)]",-1109771198.0,0,,,,8.602144879647195
-1109772709,431325283,2023683308,12,highway.primary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(5411.55, 1900.84), (5341.66, 1902.05), (5295.86, 1903.08)]",1109772709.0,0,primary,,3,115.71205394570617
-1109772710,10152611760,10152611759,12,highway.primary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4942.57, 1854.5), (4889.97, 1841.21), (4794.36, 1815.5)]",1109772710.0,0,primary,,3,153.259409219072
-1119243207,423389699,441268024,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2830.1, 3401.49), (2833.59, 3405.74), (2844.17, 3417.31), (2855.1, 3427.21), (2863.03, 3431.58), (2897.01, 3434.95), (2919.61, 3435.21), (2935.69, 3435.35)]",1119243207.0,0,residential,,,117.8075967232483
-1119245056,6333711041,430938925,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1119245056.0,0,residential,,,
-1119245057#0,423425137,423425148,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4116.05, 3529.2), (4117.12, 3512.51), (4125.7, 3479.64), (4138.16, 3435.37), (4131.75, 3417.93)]",-1119245057.0,0,,,,115.26635247033056
-1119245057#1,423425135,423425137,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4125.73, 3593.66), (4118.52, 3559.21), (4116.05, 3529.2)]",-1119245057.0,0,,,,65.30787660167876
-1119245057#2,3340881679,423425135,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4138.39, 3734.01), (4141.52, 3689.09), (4140.82, 3655.19), (4129.42, 3603.96), (4125.73, 3593.66)]",-1119245057.0,0,,,,142.36024343062437
-1119245057#3,3340881694,3340881679,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4148.04, 3782.51), (4140.82, 3749.35), (4138.39, 3734.01)]",-1119245057.0,0,,,,49.468186956898634
-1119245058,2513116050,3340881694,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4175.45, 3849.82), (4172.89, 3842.24), (4164.55, 3823.65), (4158.35, 3809.85), (4149.91, 3791.04), (4148.04, 3782.51)]",1119245058.0,0,residential,50,2,72.85378566330513
-1119245060#0,3340881462,430894463,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4095.94, 3435.71), (4087.8, 3439.07), (4077.08, 3443.4), (4069.49, 3445.68), (4063.59, 3447.45)]",-1119245060.0,0,,,,34.452495925385314
-1119245060#1,423425148,3340881462,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,,-1119245060.0,0,,,,
-1119245060#2,8916107651,423425148,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,,-1119245060.0,0,,,,
-1119245061,3340881416,8916107651,11,highway.secondary,27.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4214.57, 3375.39), (4208.33, 3378.47), (4157.08, 3404.82), (4146.86, 3410.32)]",1119245061.0,0,secondary,,,76.19181985285528
-1119245070,429653579,430895473,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3985.8, 2882.23), (3986.21, 2890.8), (3986.26, 2897.75)]",1119245070.0,0,residential,,,15.52998171630201
-1119245071,430895473,430901229,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3986.26, 2897.75), (3990.37, 2929.8), (3995.7, 2969.01)]",1119245071.0,0,residential,,,71.8830604869028
-1119245074,1687165259,1687165275,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2980.83, 3248.98), (3003.36, 3221.55), (3019.39, 3198.74)]",1119245074.0,0,residential,,,63.3758896569728
-1119245692,621155637,423353694,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4134.0, 2785.61), (4115.23, 2794.64), (4101.0, 2768.04)]",1119245692.0,0,residential,,,50.99624050237081
-1119245693,7257331823,621155637,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1119245693.0,0,residential,,,
-1162674260,9972395328,431334400,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,,1162674260.0,0,tertiary,,,
-1165362989,3254769439,10839457927,2,highway.living_street,2.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2634.77, 2903.39), (2627.48, 2919.86), (2626.41, 2922.27)]",1165362989.0,0,living_street,,,20.64810067290714
-1165362990#0,3204645334,10839457934,2,highway.living_street,2.78,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2620.98, 2934.55), (2619.3, 2937.93), (2612.79, 2951.07)]",-1165362990.0,0,,,,18.43872533837486
-1165362990#1,10839457927,3204645334,2,highway.living_street,2.78,1,,tram rail_urban rail rail_electric rail_fast ship,,-1165362990.0,0,,,,
-1237369283,3204643489,418600284,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2450.23, 2817.25), (2417.6, 2805.21), (2388.52, 2791.85), (2368.91, 2784.19), (2358.76, 2779.02), (2357.79, 2773.89)]",1237369283.0,0,unclassified,,,104.44727881681564
-1237371405,11492610792,3204645804,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1237371405.0,0,residential,,2,
-1238426234#0,3469068912,418609058,12,highway.primary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3046.14, 2192.13), (3037.2, 2152.45), (3036.99, 2145.62)]",-1238426234.0,0,,,,47.507863472650186
-1238426236,1767323500,1767322357,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1238426236.0,0,residential,,,
-1238426237,1767285014,5263712552,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2574.65, 692.39), (2592.79, 701.44), (2618.47, 716.15), (2670.23, 748.71), (2725.53, 783.65), (2805.92, 835.08), (2872.63, 878.04), (2893.63, 888.3), (2937.31, 906.23), (2948.46, 910.94), (2981.34, 924.85), (3020.27, 942.55), (3050.47, 959.3), (3083.06, 986.41), (3110.09, 1012.18), (3128.82, 1031.2), (3163.15, 1063.11), (3180.83, 1079.82), (3185.9, 1084.6)]",1238426237.0,0,tertiary,,,731.4994919384118
-1238426239,1767302209,1767302227,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2975.63, 377.15), (2979.98, 382.14), (2985.96, 388.83), (2996.8, 403.67), (3014.13, 428.8), (3032.04, 456.32), (3050.74, 487.38), (3064.11, 510.33), (3074.72, 531.89), (3080.02, 545.13), (3081.96, 556.39), (3082.89, 571.4), (3080.46, 585.21), (3076.84, 601.18), (3073.43, 612.61), (3070.42, 624.84), (3068.79, 635.11), (3061.33, 722.53), (3061.51, 728.25), (3062.88, 734.37), (3066.82, 738.33)]",1238426239.0,0,unclassified,,,395.53879178428457
-1238426242,1767344724,1767322317,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3659.49, 1265.44), (3658.25, 1273.83), (3654.21, 1297.1)]",1238426242.0,0,residential,,,32.0992347704192
-1238426243,5777445927,1767344707,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1238426243.0,0,residential,,,
-1238948418#0,9897124748,2511985648,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,,-1238948418.0,0,,,,
-1239117016#0,3471018057,3974640291,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1239117016.0,0,,,,
-1239117016#1,3974576101,3471018057,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1239117016.0,0,,,,
-1239117016#2,4980006045,3974576101,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4909.64, 2706.97), (4907.11, 2702.82), (4903.55, 2698.96), (4898.8, 2696.36), (4891.68, 2693.76), (4865.28, 2684.24), (4836.77, 2672.06), (4807.8, 2656.73), (4781.09, 2639.91), (4758.7, 2623.7), (4734.09, 2602.76), (4709.64, 2575.16), (4701.62, 2565.51)]",-1239117016.0,0,,,,255.8888681522713
-1239117018,2962483937,1687124670,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3075.34, 4948.46), (3099.28, 4910.63), (3123.67, 4866.24), (3148.98, 4803.84), (3172.95, 4758.38), (3180.47, 4734.89), (3182.68, 4713.08), (3182.6, 4637.56)]",1239117018.0,0,residential,,,336.2539315396445
-1239117021,1687124701,11510936199,4,highway.unclassified,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3344.23, 4370.38), (3264.03, 4464.88), (3232.51, 4508.76)]",1239117021.0,0,unclassified,,1,177.97215029092195
-1239117024,429478908,3974531856,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3672.23, 2081.42), (3668.17, 2064.68), (3657.94, 2049.44), (3588.06, 1949.51), (3581.12, 1938.67), (3578.37, 1931.84), (3576.74, 1919.71), (3575.08, 1911.3), (3572.35, 1902.42), (3565.21, 1887.9), (3557.83, 1876.17), (3553.47, 1870.57), (3548.94, 1865.02), (3542.68, 1858.95), (3529.46, 1849.23), (3511.69, 1838.3), (3498.47, 1825.23), (3481.14, 1802.46), (3425.42, 1723.11), (3369.7, 1645.14), (3320.47, 1577.05), (3304.01, 1553.99)]",1239117024.0,0,residential,,,650.4988217904388
-1239117045,429520308,3262396875,10,highway.tertiary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4009.44, 1633.31), (4052.85, 1683.7), (4064.25, 1697.36), (4092.68, 1730.27), (4110.98, 1746.13), (4191.06, 1804.56)]",1239117045.0,0,tertiary,,,251.13835425980125
-1299820133,430901229,430912564,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3995.7, 2969.01), (3996.18, 2972.27), (3997.0, 2978.01), (4020.26, 3141.16), (4020.75, 3145.63), (4021.25, 3150.09)]",1299820133.0,0,residential,,,182.87786681561568
-1339478328#0,3471386122,429504429,10,highway.tertiary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3232.03, 2738.29), (3246.15, 2737.72), (3355.37, 2732.1), (3362.74, 2731.55), (3373.24, 2730.95)]",-1339478328.0,0,,,,141.40361820684794
-1339478331#1,12390308742,2511999107,12,highway.primary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2809.52, 1625.34), (2750.8, 1560.02), (2747.93, 1556.83)]",-1339478331.0,0,,,,92.12463438721664
-1339478332#0,3974531848,1766515560,12,highway.primary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1339478332.0,0,,,,
-1339478332#1,12390308745,3974531848,12,highway.primary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-1339478332.0,0,,,,
-1339510606#0,2513116129,2513116272,11,highway.secondary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,"[(5368.3, 4272.88), (5362.75, 4288.02), (5340.83, 4347.99)]",-1339510606.0,0,,,,79.97570821123814
-1339510606#1,12390642059,2513116129,11,highway.secondary,22.22,1,,tram rail_urban rail rail_electric rail_fast ship,"[(5356.92, 3893.85), (5361.08, 3914.19), (5382.01, 4068.55), (5388.12, 4122.05), (5387.67, 4181.42), (5379.55, 4232.68), (5368.3, 4272.88)]",-1339510606.0,0,,,,383.3966749497651
-1339510609#0,429655331,12390642063,11,highway.secondary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4488.68, 2614.16), (4499.61, 2618.14), (4513.57, 2627.75)]",-1339510609.0,0,,,,28.58005101929482
-1339510610,429655333,12390642064,11,highway.secondary,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4437.02, 2618.02), (4424.42, 2616.68), (4394.03, 2615.19)]",1339510610.0,0,secondary,50,3,43.09755851921651
-1371061454,1767325521,1767335324,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,1371061454.0,0,residential,,,
-13937774#0,423359653,3204643489,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2488.87, 2828.62), (2467.46, 2823.47), (2450.23, 2817.25)]",-13937774.0,0,,,,40.33901807723713
-13937774#1,423361227,423359653,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(2570.05, 2854.39), (2555.51, 2845.75), (2530.84, 2837.2), (2488.87, 2828.62)]",-13937774.0,0,,,,85.86098311082753
-139832421#0,1532578485,5318265357,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(5432.36, 3858.99), (5439.68, 3868.51), (5446.82, 3883.0), (5452.84, 3897.45), (5460.23, 3911.58), (5471.44, 3928.53), (5525.79, 4007.54), (5568.05, 4065.48), (5571.76, 4079.73), (5572.3, 4090.25), (5574.24, 4105.34), (5575.18, 4111.51), (5578.52, 4117.88), (5585.82, 4127.25), (5658.07, 4194.5), (5671.81, 4215.73), (5677.11, 4228.28), (5680.1, 4242.21), (5684.71, 4272.22), (5689.32, 4306.95), (5691.86, 4333.04), (5697.83, 4351.96), (5711.96, 4390.65), (5744.11, 4483.41), (5745.9, 4488.94)]",-139832421.0,0,,,,721.9699188788649
-139832421#1,1532579486,1532578485,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(5349.29, 3860.39), (5354.0, 3858.32), (5373.15, 3849.01), (5396.04, 3845.66), (5405.18, 3845.8), (5415.37, 3847.81), (5423.96, 3851.58), (5432.36, 3858.99)]",-139832421.0,0,,,,89.68136090972453
-153730003#0,1663572730,1663572789,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730003.0,0,,,,
-153730003#1,1663572707,1663572730,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730003.0,0,,,,
-153730003#2,1663572697,1663572707,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730003.0,0,,,,
-153730008#0,1663572768,429520296,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4254.32, 2040.66), (4269.16, 2066.63), (4281.32, 2080.26)]",-153730008.0,0,,,,48.17685974521396
-153730008#1,1663572830,1663572768,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4247.23, 1979.26), (4245.15, 2005.5), (4247.66, 2022.08), (4254.32, 2040.66)]",-153730008.0,0,,,,62.82880299482694
-153730008#2,429520299,1663572830,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4271.86, 1910.34), (4266.41, 1940.97), (4251.83, 1969.01), (4247.23, 1979.26)]",-153730008.0,0,,,,73.950042368336
-153730009#0,1663572713,1663572779,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4566.95, 2297.38), (4572.73, 2284.3), (4589.94, 2254.95), (4609.32, 2261.34), (4612.9, 2257.01)]",-153730009.0,0,,,,74.34837234955579
-153730009#1,1663572730,1663572713,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4475.04, 2271.04), (4549.22, 2292.28), (4566.95, 2297.38)]",-153730009.0,0,,,,95.60986251037006
-153730010#0,1663572771,1663572725,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730010.0,0,,,,
-153730010#1,1663572666,1663572771,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730010.0,0,,,,
-153730010#2,431336421,1663572666,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730010.0,0,,,,
-153730011,429520294,1663572898,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4293.18, 2122.62), (4275.77, 2119.49), (4258.97, 2113.31), (4227.94, 2102.33)]",153730011.0,0,residential,,,68.50511235053727
-153730013#0,1663572633,1663572768,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730013.0,0,,,,
-153730013#1,1663572804,1663572633,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730013.0,0,,,,
-153730013#2,1663572742,1663572804,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730013.0,0,,,,
-153730014#0,1663572766,1663572582,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730014.0,0,,,,
-153730014#1,1663572804,1663572766,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4200.43, 2052.29), (4191.64, 2008.2), (4192.9, 2003.51), (4197.69, 1994.45), (4205.65, 1984.42)]",-153730014.0,0,,,,72.8670629434709
-153730015#0,1663572680,429520292,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730015.0,0,,,,
-153730015#1,3974640257,1663572680,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730015.0,0,,,,
-153730015#2,3974637330,3974640257,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4367.39, 1909.31), (4348.38, 2129.45), (4344.48, 2168.75)]",-153730015.0,0,,,,260.45230894745083
-153730015#3,1663572827,3974637330,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4373.33, 1827.6), (4369.54, 1884.42), (4367.39, 1909.31)]",-153730015.0,0,,,,81.92894575877426
-153730016#0,1663572674,1663572641,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4402.29, 2206.54), (4408.53, 2204.86), (4433.65, 2200.16), (4441.19, 2196.49), (4462.93, 2193.26)]",-153730016.0,0,,,,62.38247439442283
-153730016#1,1663572576,1663572674,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730016.0,0,,,,
-153730017,1663572633,1663572766,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,153730017.0,0,residential,,,
-153730018,1663572709,1663572719,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4237.99, 1863.57), (4231.28, 1859.0), (4115.8, 1829.54), (4104.92, 1828.11), (4095.99, 1833.4), (4092.4, 1839.5), (4083.33, 1880.33), (4077.37, 1892.89)]",153730018.0,0,residential,,,211.4554200204927
-153730020#0,1663572719,1663572590,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4077.37, 1892.89), (4041.39, 1876.41), (3967.15, 1829.54)]",-153730020.0,0,,,,127.37197223085221
-153730020#1,1663572887,1663572719,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4221.72, 1955.35), (4208.99, 1941.02), (4192.8, 1929.5), (4100.16, 1908.34), (4077.37, 1892.89)]",-153730020.0,0,,,,161.59720808544864
-153730020#2,1663572582,1663572887,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730020.0,0,,,,
-153730020#3,1663572830,1663572582,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730020.0,0,,,,
-153730022#0,3974576076,1663572894,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4527.84, 2234.27), (4538.77, 2232.44), (4553.06, 2223.02), (4569.37, 2203.75), (4584.14, 2171.83), (4593.74, 2147.41), (4601.39, 2131.92), (4610.58, 2119.15), (4625.34, 2104.48)]",-153730022.0,0,,,,168.67357419394762
-153730022#1,1663572789,3974576076,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4479.74, 2227.33), (4524.91, 2234.76), (4527.84, 2234.27)]",-153730022.0,0,,,,48.74769093100164
-153730022#2,1663572576,1663572789,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730022.0,0,,,,
-153730022#3,1663572680,1663572576,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4341.48, 2216.06), (4351.65, 2212.64), (4365.46, 2212.41), (4392.67, 2215.22)]",-153730022.0,0,,,,51.896271738943085
-153730023,1663572674,1663572648,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,153730023.0,0,path,,,
-153730925#0,1663593067,1663593092,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3976.56, 2439.97), (3974.11, 2458.9), (3973.61, 2493.41)]",-153730925.0,0,,,,53.60150815933538
-153730925#1,1663593057,1663593067,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730925.0,0,,,,
-153730928,429482598,429483201,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3584.64, 2582.26), (3641.88, 2529.83), (3698.87, 2476.44)]",153730928.0,0,residential,,,155.71489794665388
-153730933#0,1663593092,1663593013,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3973.61, 2493.41), (3954.18, 2495.19), (3936.57, 2495.33), (3898.93, 2493.2)]",-153730933.0,0,,,,74.82213868119842
-153730933#1,1663593129,1663593092,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730933.0,0,,,,
-153730934,423353680,1663593112,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,153730934.0,0,residential,,,
-153730935,1663593224,1697838087,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4141.0, 2650.05), (4157.07, 2691.55), (4165.9, 2710.93), (4181.15, 2731.63), (4182.51, 2733.36), (4184.19, 2735.16)]",153730935.0,0,residential,,,96.17324594104805
-153730937,2759219803,1663593188,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4059.48, 2473.42), (4065.42, 2492.87), (4079.16, 2521.15), (4096.92, 2551.7)]",153730937.0,0,footway,,,87.1152016509566
-153730938,1663593129,1663593204,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(3976.92, 2493.19), (3978.16, 2536.14), (3897.37, 2533.66)]",153730938.0,0,residential,,,123.79595130928833
-153730939#0,1663593224,1663593059,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,,-153730939.0,0,,,,
-153730939#1,1663593156,1663593224,3,highway.residential,13.89,1,,tram rail_urban rail rail_electric rail_fast ship,"[(4192.52, 2630.46), (4155.42, 2643.11), (4141.0, 2650.05)]",-153730939.0,0,,,,55.20047792185612
